Sorted list of BTC addresses
BTC address;Amount (Satoshi)
128Z5QSEr5aFL15Z4ruKj4toekT75TeEN4;0
128Ys1NQ4r2dwkSx9z47JpEidFsWaLBarD;0
128YPF9zJjLiAwPz1bMrqD1uvEwTvj6VMQ;0
128ycDUke6A3oCCNfDxweaSmK626iVKSgT;0
128Y4HSna1hb9SzdTDLWWhSg33Ga5FaPrD;0
128XGjP6JLmJPgPPcKF57pJicNDcLBM7WK;0
128wXQMeeWF9d2QDn1U5pG6LAs3DaDSN3T;0
128wrtPC4smK17vhBWadzTM5uSWzXa8Wqm;0
3R1n9mpoJzYpbMkiyckXXZabVJ88bgvghy;0
113E24H6jdHGPU3YQ4qd4gPWqfNqHGwsQb;0
128w25EzLsTCLnDzqsMY4pmJwQame1aVyM;0
3QYm28JgRQ6cZHechwwC4HBCm8eMiRowGT;0
3QXkhmovCoij31UQHxqQL9eDZwhrqNqz4F;0
3Qwc95siZA4hGaN5s6RxohM4CCtXbB23Sd;0
3Qw5J1gvycwDEYWYqwUkH6VkaQmSYydG9J;0
3QVRfhpnmM3h9K55ab8SHxnqd98x6mme1P;0
3QUXLXpi6DiEruhJaLaa4cjm1ds1cukdM5;0
3QumSaNsrofQvUzNRLdEzFK7NQqkp5Rp97;0
3QTB27eREHPzr4Gx4UssJr6rLe5cWP1g4j;0
3QSWhD7DwZe2b89ipT3YBuig2KKGeXkYWK;0
3QSw8r3gUx2hUTovaNUb6KThZW7YCc9dgx;0
128Vr3u5eJ6S7hhisrYpjAm8qw6d1kGnJN;0
3QQHeyKTgL98a5w9NiWG2aTWK9os52Pvvy;0
3QPKJML9PDb9gjq6co5ktvoXB6fkGCzyHc;0
3QpK9YGz3sxx8eftefZJkpWxDcmgaqwPMK;0
3QozsR13LhSVXQJ9tGVSJxdU4CXXu5aFzV;0
3QnVVVFUeBNtf7rPQQLiDXEKxRicnZ4Ds4;0
3QNeyBZxqyFD7WHuufgjgG95ZYHcXmpz7c;0
3QLyqPJrGvxT3EcavRQWR1r7XSk9t7pe93;0
3QLDshz5AACZZ956SyAjSAr9TQUVSKFFHm;0
3QL4SNCNw8S4qrHfUWPGizoub3jUEvwAPU;0
128vP3nLRqqc25KZ1rZzRKNLMXkU1wHA8Z;0
3QkpEfzQSE2VfsvwzxW6hUyzD7yV5wT2gx;0
3QihgAKr1d1SsU8Qgy5g9w76eATdarEmmg;0
3QifEmFvJZMzyWkPkK1v3zKXD9JhoT7nqJ;0
3QHPgxYCcN9oUswqqWEfwPFcirqriZqY9d;0
3QGrdhdLvjHWAKSLS9sjrB5ZBrHLuVgJnm;0
3QGns93W7yTiHVHxKQPdep2DBwrNexRr6b;0
3QgMHDi7bbpXT3SWF3a7ZoBTb67smFhHD4;0
3QGLRDTDfKAc82owhPzFViNv5ZMzyvrXhw;0
3QggyyKpNDrWG4Y9wgiSaSVikrZ6tyMjiB;0
3QGGXTT9186DrWnQ6BxBn5eGPacm7RSNsx;0
128VCbVR1yieJHALgAwMHMeUMYxKZ7tBjU;0
3Qg4P7vvyBashLfgZMyLgkWGkNXe1KH6Xp;0
3Qg1pU6PZSiSUFGixmLUtUJXHnEHMkJAuC;0
